product_id,area,is_new,launch_ym,loe_ym,estimated_patients,num_indications,reference_product,indication_add_ym,indication_fte_boost,indication_boost_months,drug_class,post_loe_factor,mindscape_target_pct
GLI,CS,False,2018-04,2099-01,50000,3,,,,,plasma_derived,0.9,0
GLO,CS,True,2026-02,2027-03,50000,1,GLI,,,,plasma_derived,0.0,40
CUV,CS,False,2020-10,2099-01,30000,2,,,,,small_molecule,0.0,0
HYQ,CS,False,2022-04,2099-01,20000,2,,,,,small_molecule,0.0,0
INT,CS,False,2019-07,2026-12,80000,4,,,,,small_molecule,0.0,0
TRI,CS,False,2021-01,2031-07,60000,3,,,,,small_molecule,0.0,0
ENT,CS,False,2018-10,2032-10,70000,3,,,,,biologic,0.55,0
OVE,CS,True,2026-07,2046-07,90000,1,TRI,,,,small_molecule,0.0,40
LIV,CS,False,2019-04,2033-04,40000,3,,,,,small_molecule,0.0,0
REV,CS,False,2021-07,2033-07,35000,2,,,,,small_molecule,0.0,0
ALC,CS,False,2023-01,2029-05,25000,2,,,,,small_molecule,0.0,0
VYV,CS,False,2024-04,2033-04,20000,2,,2028-07,1.3,12.0,small_molecule,0.0,0
VPR,CS,False,2022-10,2032-10,18000,2,,,,,small_molecule,0.0,0
LVM,PS,False,2020-01,2099-01,5000,2,,,,,plasma_derived,0.9,0
Zaso,CS,True,2027-04,2047-04,50000,1,ENT,,,,biologic,0.0,20
WSA,CS,True,2029-04,2049-04,40000,1,LIV,,,,small_molecule,0.0,60
TKZ,PS,False,2022-04,2032-04,3000,1,,,,,small_molecule,0.0,0
RPL,PS,False,2023-10,2099-01,4000,2,,,,,plasma_derived,0.9,0
VON,PS,False,2024-07,2099-01,3500,1,,,,,plasma_derived,0.9,0
